Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent ()
3962,370.7,3.3,22.38,-8143.95,32919.0,3695.0
3963,387.98,3.41,-18.34,8265.69,33256.0,63293.0
3964,350.9,3.32,22.99,-8823.89,33389.0,4238.0
3965,338.67,3.44,-21.13,8349.29,33736.0,62926.0
3966,303.29,3.33,20.62,-8845.57,33873.0,3619.0
3967,287.24,3.43,-23.61,8318.32,34235.0,63300.0
3968,272.61,3.32,17.98,-8374.89,34342.0,63396.0
3969,276.02,3.41,-23.89,8263.24,34234.0,61336.0
3970,280.63,3.29,17.43,-7932.08,33915.0,2342.0
3971,312.34,3.37,-22.23,8392.04,33843.0,61555.0
3972,326.88,3.26,19.73,-7878.97,33535.0,2395.0
3973,357.95,3.36,-19.67,8303.1,33471.0,61899.0
3974,360.57,3.26,21.85,-8053.94,33168.0,2515.0
3975,392.42,3.37,-18.42,8472.43,33105.0,61405.0
3976,376.12,3.28,23.94,-8614.21,32787.0,2614.0
3977,383.24,3.4,-19.13,8517.29,32792.0,65450.0
3978,369.57,3.3,23.45,-8599.36,32967.0,3359.0
3979,369.71,3.42,-19.54,8367.54,33251.0,63352.0
3980,332.64,3.32,22.29,-8913.51,33367.0,3763.0
3981,320.99,3.44,-22.27,8457.6,33646.0,62896.0
3982,292.38,3.32,20.02,-8807.16,33752.0,3935.0
3983,279.52,3.42,-24.02,8349.82,34026.0,63397.0
3984,273.56,3.3,17.73,-8228.67,34119.0,2936.0
3985,284.27,3.39,-23.41,8265.41,34248.0,62225.0
3986,303.61,3.28,17.91,-7644.44,33943.0,2314.0
3987,331.4,3.37,-20.31,8021.24,33679.0,61400.0
3988,348.3,3.26,19.8,-7480.25,33247.0,2278.0
3989,382.31,3.36,-17.6,7962.56,33026.0,61090.0
3990,378.35,3.27,22.21,-7865.76,32624.0,1728.0
3991,380.96,3.39,-17.12,7695.99,32694.0,66.0
3992,377.21,3.3,21.36,-7599.87,32947.0,4252.0
3993,382.89,3.41,-16.64,7499.87,33371.0,63184.0
3994,346.52,3.32,20.86,-8060.74,33561.0,3748.0
3995,334.67,3.43,-19.44,7615.02,33997.0,63547.0
3996,301.87,3.33,18.63,-8076.61,34189.0,64778.0
3997,289.85,3.42,-21.75,7649.97,34271.0,62060.0
3998,274.29,3.32,16.5,-7743.53,34115.0,2849.0
3999,280.58,3.4,-22.22,7704.34,34205.0,62405.0
4000,288.53,3.29,16.3,-7323.14,33958.0,2843.0
4001,311.88,3.37,-20.31,7627.01,33863.0,61308.0
4002,326.27,3.27,17.82,-7136.04,33502.0,2568.0
4003,356.37,3.36,-17.86,7559.8,33359.0,61591.0
4004,359.14,3.27,19.94,-7325.7,33054.0,2445.0
4005,390.18,3.37,-16.69,7747.04,32907.0,61681.0
4006,375.68,3.28,22.05,-7870.06,32631.0,2009.0
4007,373.32,3.39,-17.3,7602.27,32806.0,63175.0
4008,366.75,3.31,20.71,-7560.63,33044.0,4039.0
4009,362.26,3.41,-17.1,7263.87,33426.0,63495.0
4010,326.45,3.32,19.22,-7809.12,33607.0,4060.0
